#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
3300,-304155.76710929256,59057.22382439813,-245098.54328489443,293.6253063926761,0.9957489333630352
3400,-303817.24836242665,59140.892265306786,-244676.35609711986,294.0412956655592,0.9957489333630352
3500,-303598.510048653,59209.35373170464,-244389.15631694836,294.3816777178367,0.9957489333630352
3600,-303278.18340815976,59279.16549482453,-243999.01791333524,294.72877328055466,0.9957489333630352
3700,-302726.7591574872,58867.63095828309,-243859.1281992041,292.6826738102774,0.9957489333630352
3800,-302043.6244652709,58631.49812425213,-243412.12634101877,291.508650189596,0.9957489333630352
3900,-302083.0610740229,58979.996717027505,-243103.0643569954,293.24134264370366,0.9957489333630352
4000,-302922.07087900164,60179.92569806072,-242742.14518094092,299.2072430347033,0.9957489333630352
4100,-302140.0124017752,59401.93396430439,-242738.07843747083,295.3391631216615,0.9957489333630352
4200,-301952.5026720846,59269.120837308554,-242683.38183477605,294.6788324697656,0.9957489333630352
4300,-301807.45381997246,59462.01882232563,-242345.43499764684,295.6378976998141,0.9957489333630352
4400,-301935.7376414379,59761.76398169718,-242173.97365974073,297.12819403548156,0.9957489333630352
4500,-301397.5069221081,59262.663260226676,-242134.84366188146,294.64672618493825,0.9957489333630352
4600,-301232.43552908767,59003.12731872231,-242229.30821036536,293.3563451712502,0.9957489333630352
4700,-301080.972643937,59046.99278978957,-242033.97985414742,293.57443893773814,0.9957489333630352
4800,-301659.359691401,59350.43995122821,-242308.9197401728,295.0831411756953,0.9957489333630352
4900,-301901.2523485096,59463.32434657216,-242437.92800193746,295.64438860697277,0.9957489333630352
5000,-301244.744040383,59075.82718259696,-242168.91685778607,293.71780001830444,0.9957489333630352
5100,-301281.6152661564,59400.341116803465,-241881.27414935292,295.33124367836206,0.9957489333630352
5200,-300984.4924742868,59181.4114343836,-241803.08103990322,294.24275202711,0.9957489333630352
5300,-301368.09985989425,59569.53274923767,-241798.5671106566,296.1724438177436,0.9957489333630352
5400,-301203.2197982799,59284.08760473263,-241919.1321935473,294.75324541006347,0.9957489333630352
5500,-300949.8487103814,59307.57204232109,-241642.27666806034,294.8700071664724,0.9957489333630352
5600,-301301.2570981765,59515.35390987067,-241785.90318830585,295.90307324325744,0.9957489333630352
5700,-301052.0702679679,59234.603989771575,-241817.4662781963,294.5072189180706,0.9957489333630352
5800,-300877.4399402421,59613.688330099685,-241263.7516101424,296.39197997471075,0.9957489333630352
5900,-300230.1363058882,59382.73289434123,-240847.40341154695,295.24369774611716,0.9957489333630352
6000,-301187.6924995566,60316.18152794149,-240871.5109716151,299.88469038501376,0.9957489333630352
6100,-300667.0922703268,60010.41196431732,-240656.68030600948,298.3644414469387,0.9957489333630352
6200,-300212.8506305022,59651.80753711832,-240561.0430933839,296.5815040179264,0.9957489333630352
6300,-300250.18303544726,60113.18835586151,-240136.99467958574,298.87543311743826,0.9957489333630352
6400,-300433.3520382503,60284.1677399911,-240149.1842982592,299.72552173997764,0.9957489333630352
6500,-299900.08410780504,59614.29312680988,-240285.79098099517,296.39498695011247,0.9957489333630352
6600,-299994.41356337536,59804.89577225805,-240189.5177911173,297.3426400320688,0.9957489333630352
6700,-300107.6802294748,59681.484114006955,-240426.19611546784,296.72905233492014,0.9957489333630352
6800,-301075.2134131612,60590.3075528504,-240484.90586031083,301.247611512045,0.9957489333630352
